State Code,County Code,Parameter Code,POC,Latitude,Longitude,Parameter Name,Sample Duration,Pollutant Standard,Year,Units of Measure,Observation Count,Observation Percent,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Certification Indicator,Num Obs Below MDL,State Name,County Name,City Name
6.0,3.0,44201.0,1.0,30.497478,-87.880258,Ozone,1 HOUR,Ozone 1-hour 1979,2024.0,Parts per million,708.0,13.0,31.0,245.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,44201.0,1.0,30.497478,-87.880258,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 1997,2024.0,Parts per million,734.0,13.0,31.0,245.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,44201.0,1.0,30.497478,-87.880258,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-Hour 2008,2024.0,Parts per million,734.0,13.0,31.0,245.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,44201.0,1.0,30.497478,-87.880258,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,2024.0,Parts per million,520.0,12.0,30.0,245.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,1 HOUR,PM25 24-hour 1997,2024.0,Micrograms/cubic meter (LC),2613.0,30.0,112.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 1997,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,3.0,88101.0,3.0,30.497478,-87.880258,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2024,2024.0,Micrograms/cubic meter (LC),107.0,29.0,107.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Baldwin,Fairhope
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,1 HOUR,PM25 24-hour 1997,2024.0,Micrograms/cubic meter (LC),2885.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 1997,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2006,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2024,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 1997,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2006,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2012,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
6.0,27.0,88101.0,3.0,33.284928,-85.803608,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 Annual 2024,2024.0,Micrograms/cubic meter (LC),121.0,33.0,121.0,366.0,0.0,0.0,Certification not required,0.0,Alabama,Clay,Ashland
